"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 27 11:18:14 EEST 2022","Wed Apr 27 11:18:15 EEST 2022","1095","firefox","example.spec.ts","Persistence","","","should persist its data",""
"passed","Wed Apr 27 11:18:04 EEST 2022","Wed Apr 27 11:18:05 EEST 2022","938","firefox","example.spec.ts","Item","","","should allow me to edit an item",""
"passed","Wed Apr 27 11:18:04 EEST 2022","Wed Apr 27 11:18:05 EEST 2022","799","chromium","example.spec.ts","Mark all as completed","","","should allow me to clear the complete state of all items",""
"passed","Wed Apr 27 11:18:12 EEST 2022","Wed Apr 27 11:18:13 EEST 2022","1215","webkit","example.spec.ts","Editing","","","should cancel edits on escape",""
"passed","Wed Apr 27 11:18:07 EEST 2022","Wed Apr 27 11:18:08 EEST 2022","857","chromium","example.spec.ts","Item","","","should allow me to un-mark items as complete",""
"passed","Wed Apr 27 11:18:08 EEST 2022","Wed Apr 27 11:18:09 EEST 2022","815","chromium","example.spec.ts","Editing","","","should hide other controls when editing",""
"passed","Wed Apr 27 11:18:10 EEST 2022","Wed Apr 27 11:18:11 EEST 2022","792","firefox","example.spec.ts","Counter","","","should display the current number of todo items",""
"passed","Wed Apr 27 11:18:05 EEST 2022","Wed Apr 27 11:18:06 EEST 2022","820","chromium","example.spec.ts","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Wed Apr 27 11:18:15 EEST 2022","Wed Apr 27 11:18:17 EEST 2022","1613","webkit","example.spec.ts","Clear completed button","","","should remove completed items when clicked",""
"passed","Wed Apr 27 11:18:08 EEST 2022","Wed Apr 27 11:18:08 EEST 2022","758","chromium","example.spec.ts","Item","","","should allow me to edit an item",""
"passed","Wed Apr 27 11:18:05 EEST 2022","Wed Apr 27 11:18:07 EEST 2022","1299","webkit","example.spec.ts","Item","","","should allow me to edit an item",""
"passed","Wed Apr 27 11:18:18 EEST 2022","Wed Apr 27 11:18:19 EEST 2022","813","chromium","example.spec.ts","Routing","","","should allow me to display all items",""
"passed","Wed Apr 27 11:18:24 EEST 2022","Wed Apr 27 11:18:26 EEST 2022","1660","webkit","example.spec.ts","Routing","","","should allow me to display all items",""
"passed","Wed Apr 27 11:17:59 EEST 2022","Wed Apr 27 11:18:00 EEST 2022","1421","webkit","example.spec.ts","Mark all as completed","","","should allow me to clear the complete state of all items",""
"passed","Wed Apr 27 11:18:05 EEST 2022","Wed Apr 27 11:18:06 EEST 2022","956","firefox","example.spec.ts","Editing","","","should hide other controls when editing",""
